No.,キャラクター名：左 = 1,キャラクター名：右 = 2,キャラクター画像：左,キャラクター画像：右,,,,0
初期値,みぃちゃん,こっしくん,asset\texture\NormalMii-chan.png,asset\texture\NormalKossi.png,,,,0
,,,,,,,,0
No.,キャラクター(左:1 or 右:2),会話文：１行目,会話文：２行目,"文字サイズ(大,小)に変更, 初期値:中",表情を変えたい = 1,変えたい画像,名前変更,0
1,1,よーし！今日もバイトがんばるよ！,ね！？こっしくん！！,,1,asset\texture\SmileMii-chan.png,,0
2,2,みぃちゃんがんばろうね！,ところで今日は何をするの？,,,,,0
3,1,宇宙に橋をかけるための大切な資材を,おとどけするんだよー,,,,,0
4,2,それはしっかりとお届けしないとだね！,,,,,,0
5,2,この宇宙空間は危険がいっぱいだから,気をつけないと！,,,,,0
6,1,このミルキー号があるから大丈夫！,,,,,,0
7,2,みぃちゃん…これ操縦できるの？だいじょうぶ？,,,,,,0
8,1,だいじょうぶ！しっかり免許取得済みなんです！,,,1,asset\texture\SmileMii-chan.png,,0
9,2,(こいつ３回も免許試験落ちてたけどだいじょうか？),,小,1,asset\texture\Kossi.png,,0
10,1,ちょっと心配だからこっしくん,操縦のやり方をおさらいしてほしいなぁ,,1,asset\texture\SadMii-chan.png,,0
11,2,{AnalogLeft}で左右に移動するだけ！,対応コントローラーならジャイロ操作もできるよ！,,,,,0
12,2,隕石に当たらないようにちゃんとよけてね！,,,,,,0
13,2,あ！あとは星の欠片を集めたら、,{OK}ボタンでフィーバータイムを発動できるよ！,,,,,0
14,1,フィーバータイムってー？,,,,,,0
15,2,スピードアップして、隕石にぶつかっても,減速しないよ！,,,,,0
16,2,フィーバータイムを駆使して,できるだけ早く届けてあげよう！,,,,,0
17,1,まかせろー！！,,,1,asset\texture\SmileMii-chan.png,,0
